scorer,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000,DLC_resnet50_T001Mar9shuffle1_500000
bodyparts,Mouse1,Mouse1,Mouse1,Mouse2,Mouse2,Mouse2,Mouse3,Mouse3,Mouse3,Mouse4,Mouse4,Mouse4
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,931.2723999,36.23815918,1,1147.052002,43.89252853,0.999994874,544.3465576,643.9619141,0.999998927,1508.30481,677.0004883,0.999999642
1,931.2761841,36.25623322,0.999999881,1147.063354,43.89276505,0.999994755,544.8087769,643.9762573,0.999998927,1508.30481,677.1153564,0.999999642
2,931.2924805,36.25623322,0.999999881,1147.063477,43.89276505,0.999994874,544.8875122,644.024231,0.999998927,1508.30481,677.1539307,0.999999642
3,931.2967529,36.23815918,0.999999881,1147.064087,43.89252853,0.999994874,545.005127,644.024231,0.999998927,1508.285645,677.2475586,0.999999642
4,931.5889282,36.16496658,0.999999881,1147.191528,43.79308701,0.999994397,545.1417847,644.3348999,0.999998987,1507.934814,677.6416626,0.999999523
5,931.5889282,36.12496185,0.999999881,1147.191528,43.79301453,0.999994397,545.0413818,644.4627075,0.999999046,1507.902222,677.6644897,0.999999523
6,931.5889282,36.10373688,0.999999881,1147.191528,43.79301453,0.999994397,545.1417847,644.4699097,0.999999046,1507.862671,677.8126221,0.999999523
7,931.5029297,36.10373688,0.999999881,1147.191528,43.79301453,0.999994397,545.201416,644.5373535,0.999999166,1507.787964,677.8896484,0.999999523
8,931.2699585,36.12496185,0.999999881,1147.191528,43.79301453,0.999995768,545.4730225,644.6731567,0.999999046,1506.834717,678.6114502,0.999999523
9,931.2699585,36.14155197,0.999999881,1147.223755,43.73342514,0.99999547,545.527832,644.7041016,0.999999106,1506.678101,678.6114502,0.999999523
10,931.2684326,36.14155197,0.999999881,1147.223755,43.73342514,0.99999547,545.527832,644.7041016,0.999999046,1506.678101,678.6730957,0.999999404
11,931.2575073,36.14155197,0.99999994,1147.223755,43.73342514,0.99999541,545.5379639,644.6731567,0.999999046,1506.834717,678.6730957,0.999999404
12,931.0841675,35.92555237,0.999999881,1146.904297,44.02204132,0.999994516,545.548645,644.1280518,0.999998927,1507.526367,679.2652588,0.999999046
13,931.0667725,35.92446518,1,1146.900513,44.03427124,0.999994636,545.548645,644.1259766,0.999998808,1507.553101,679.2652588,0.999999166
14,931.0667725,35.88830185,0.999999881,1146.900513,44.03446579,0.999994636,545.5487671,644.0751343,0.999998927,1507.553101,679.2652588,0.999999046
15,931.0841675,35.88768005,1,1146.901245,44.03791046,0.999994755,545.5487671,644.0751343,0.999998927,1507.528564,679.1309814,0.999999106
16,931.093811,35.88768005,0.999999881,1146.901245,44.03791046,0.999994576,545.5487671,644.0413818,0.999998748,1507.528564,679.0861816,0.999999166
17,931.0939331,35.88768005,1,1146.898071,44.03791046,0.999994636,545.5806274,643.9829712,0.999998748,1507.528564,679.0269775,0.999999166
18,931.1716309,35.95481491,1,1146.843262,44.03791046,0.999995947,545.5806274,643.9829712,0.999998927,1507.512451,679.0269775,0.999999166
19,931.1900024,36.0571785,1,1146.843262,44.03800201,0.999996245,545.5465088,644.0413818,0.999998987,1507.511353,679.0269775,0.999999166
20,931.1970215,36.06814194,1,1146.843262,44.07630157,0.999996305,545.536438,644.1295166,0.999998927,1507.318726,679.1298218,0.999999166
21,931.2019653,36.13024902,1,1146.991333,44.07881546,0.999994159,544.5953979,644.2341919,0.999999166,1507.179565,679.4797363,0.999998927
22,931.2323608,36.16109848,1,1146.991333,44.07881546,0.99999404,544.583313,644.3696289,0.999998808,1507.179565,679.4797363,0.999998927
23,931.234314,36.17949295,0.999999881,1146.991333,44.07881546,0.999994159,544.583313,644.4126587,0.999998748,1507.179565,679.4797363,0.999998927
24,931.234314,36.17949295,1,1146.95105,43.83280563,0.999995589,544.5953979,644.4144287,0.999998808,1507.872314,679.2418213,0.999998748
25,931.2070313,36.17949295,0.999999881,1146.95105,43.83265686,0.999995589,544.6060791,644.4235229,0.99999851,1507.872314,679.2346191,0.999998808
26,931.2543335,36.16391373,1,1146.95105,43.83241272,0.999995589,544.6060791,644.4235229,0.999998689,1507.872314,679.2344971,0.999998868
27,931.2543335,36.16391373,0.999999881,1146.95105,43.83241272,0.999995589,544.6292114,644.4235229,0.999998689,1507.872314,679.2346191,0.999998808
28,931.2543335,36.16357803,1,1146.950073,43.82283783,0.999995708,544.6292114,644.4387817,0.999998689,1507.872314,679.2346191,0.999998748
29,931.6282349,36.16391373,0.999999881,1146.705566,43.81698608,0.999996781,544.796936,644.5864868,0.999999046,1508.213745,679.616333,0.999998808
30,931.7259521,36.17006683,0.99999994,1146.702515,43.78071213,0.99999702,544.796936,644.5872192,0.999999046,1508.239624,679.7020264,0.999998748
31,931.7319336,36.17006683,1,1146.685791,43.77482605,0.99999702,544.796936,644.5891113,0.999999046,1508.25647,679.7410889,0.999998689
32,931.7319336,36.15551376,1,1146.702515,43.76332855,0.999997139,544.7935181,644.5891113,0.999999046,1508.25769,679.7424927,0.999998689
33,931.7319336,36.15306091,1,1146.668457,43.75291824,0.999997258,544.5460815,644.5952148,0.999998868,1508.25647,679.7424927,0.999998689
34,931.7095947,36.13035202,1,1146.668457,43.75291824,0.999997079,544.5460815,644.5952148,0.999998927,1508.25647,679.7410889,0.999998689
35,931.6845093,36.11203384,1,1146.706177,43.75291824,0.999997377,544.4810791,644.6022339,0.999998808,1508.210815,679.6616821,0.999998689
36,931.5551147,36.01874542,1,1146.759888,44.15121841,0.999995589,544.4797974,644.5952148,0.999999166,1508.028198,679.3706055,0.999999106
37,931.3240356,35.99498367,0.999999881,1147.17395,44.36951447,0.999994874,544.2480469,644.5552368,0.999998927,1507.984741,679.1937866,0.999999166
38,931.3240356,35.98587799,0.999999881,1147.209351,44.37758636,0.999994874,544.2480469,644.3969727,0.999998808,1507.963135,679.1900024,0.999999285
39,931.3240356,35.94617081,1,1147.385864,44.38654709,0.999994397,544.2480469,644.2410278,0.999998689,1507.890137,678.9743042,0.999999285
40,931.362915,35.94617081,1,1147.397217,44.38733292,0.999994278,544.2528076,644.2329102,0.999998689,1507.832764,678.9743042,0.999999285
